"POINT (-50.285817 -13.769293)",5214051.000000,MUNDO NOVO,Municipal,Urbana,52000877.000000,ESCOLA MUNICIPAL MILCA MARTINS FALCHI,76530000.000000,AV DOS IPES ESQ COM AV ANTONIO SILVA,S/Nº,,SAO LOURENCO,-13.769293,-50.285817,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-50.141689 -13.263856)",5220207.000000,SAO MIGUEL DO ARAGUAIA,Municipal,Urbana,52001270.000000,ESC MUL BATISTA DO CENTENARIO,76590000.000000,RUA QUATRO,"904",,CENTRO,-13.263856,-50.141689,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-50.63196 -15.091259)",5202155.000000,ARAGUAPAZ,Municipal,Urbana,52001750.000000,ESCOLA MUNICIPAL JANELINHA DO SABER,76720000.000000,AVENIDA TIRADENTES,,,SETOR VILAS BOAS,-15.091259,-50.631960,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-52.53924 -16.198325)",5203104.000000,BALIZA,Municipal,Rural,52004945.000000,ESC MUL BANDEIRANTE,76250000.000000,GO 194 - FAZENDA BANDEIRANTE,,,FAZENDA,-16.198325,-52.539240,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-51.812878 -16.440406)",5217203.000000,PIRANHAS,Municipal,Urbana,52005879.000000,ESC MUL JOSE PEREIRA DE VASCONCELOS,76230000.000000,AV. BRASIL CENTRAL,"596",,SETOR CASEGO,-16.440406,-51.812878,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-51.804394 -16.443657)",5217203.000000,PIRANHAS,Municipal,Urbana,52005933.000000,ESC MUL SEBASTIAO JOSE DE FARIA,76230000.000000,R JOSE HONORIO DA SILVA,SNº,,SETOR STA LUZIA,-16.443657,-51.804394,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-48.566223 -13.788369)",5204656.000000,CAMPINACU,Municipal,Urbana,52006239.000000,ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA,76440000.000000,RUA 7 DE SETEMBRO,"18",CENTRO,CENTRO,-13.788369,-48.566223,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.550636 -13.96266)",5212808.000000,MARA ROSA,Municipal,Rural,52007120.000000,ESC MUL BARAO DO RIO BRANCO,76490000.000000,POV FIICOLANDIA,,,,-13.962660,-49.550636,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.17924 -13.421836)",5218003.000000,PORANGATU,Municipal,Rural,52010392.000000,ESCOLA ISOLADA LUDOVICO PEREIRA DO LAGO,76550000.000000,FAZENDA PORTEIRAO,S/N,,,-13.421836,-49.179240,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.651126 -13.499683)",5203575.000000,BONOPOLIS,Municipal,Urbana,52010503.000000,ESC MUL 1ª GRAU ABDIEL PEREIRA ARAUJO,76555000.000000,RUA TAMBURIU,SN,,CENTRO,-13.499683,-49.651126,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.201538 -13.102824)",5218003.000000,PORANGATU,Municipal,Rural,52010554.000000,ESCOLA REUNIDA BRANDINA TAVARES,76550000.000000,ENTRONCAMENTO SAO MIGUEL,,POVOADO DE AZINOPOLI,RURAL,-13.102824,-49.201538,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.1436 -13.4273)",5218003.000000,PORANGATU,Municipal,Urbana,52010732.000000,ESCOLA MUNICIPAL PROFA MARIA DAS GRACAS MARQUES DE MORAIS,76550000.000000,RUA SAO PEDRO ESQ C/ SAO FRANCISCO,S/N,,VILA BARROS,-13.427300,-49.143600,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.598352 -14.606959)",5219704.000000,SANTA TEREZINHA DE GOIAS,Municipal,Rural,52011127.000000,ESCOLA MUNICIPAL BENVINDA LEANDRO,76500000.000000,RUA DO GRUPO,SN,,DISTRITO DE CEDROLINA,-14.606959,-49.598352,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.709562 -14.433008)",5219704.000000,SANTA TEREZINHA DE GOIAS,Municipal,Urbana,52011160.000000,ESC MUL ANTONIA NAVARRO DE ABREU,76500000.000000,AV CARNAIBA,"256",,ESMERALDAS,-14.433008,-49.709562,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.707619 -14.434131)",5219704.000000,SANTA TEREZINHA DE GOIAS,Municipal,Urbana,52011259.000000,ESC MUL JOAO DURAES,76500000.000000,RUA PEDRO BATISTA FERREIRA,SNº,,SETOR CAICARA,-14.434131,-49.707619,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.830064 -14.058922)",5219704.000000,SANTA TEREZINHA DE GOIAS,Municipal,Rural,52011305.000000,ESC MUL DONA MARTINHA PITALUGA,76500000.000000,POVOADO MARTINOPOLIS,,,RURAL,-14.058922,-49.830064,AJUSTADA,Localização confirmada via Google Earth e Google Maps
"POINT (-49.714768 -14.430396)",5219704.000000,SANTA TEREZINHA DE GOIAS,Municipal,Rural,52011321.000000,ESC MUL RAFAEL DA LUZ PEIXOTO,76500000.000000,AV BRASILIA,SNº,ZONA RURAL,DISTRITO DE LUZELANDIA,-14.430396,-49.714768,AJUSTADA,Localização confirmada via Google Earth e Google Maps
