estado,pib,codigo,area,população,idh,receita,despesa
Rondônia,39450587,11,237765233,1757589,690,9122310.72305,7085530.0168
Acre,13751126,12,164123738,869265,663,6632883.10836,6084416.8063
Amazonas,89017165,13,1559168117,4080611,674,17328459.43402,15324896.55705
Roraima,11011454,14,224273831,576568,707,4419450.41557,3384683.73914
Pará,138068008,15,1245759305,8513497,646,25849446.10454,22533470.04547
Amapá,14338838,16,142470762,829494,708,5396417.14471,4224464.08829
Tocantins,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836
Maranhão,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574
Piauí,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835
Ceará,138378785,23,148894757,9075649,682,28420222.47191,24608352.18276
Rio Grande do Norte,59660847,24,52809602,3479010,684,13527552.73159,11330957.55333
Paraíba,59088986,25,56467239,3996496,658,13097005.31928,10074700.04266
Pernambuco,167289930,26,98068021,9496294,673,35746028.97102,33320486.44445
Alagoas,49456362,27,27843295,3322820,631,11950438.46015,10460634.91711
Sergipe,38866964,28,21926908,2278308,665,10145046.95355,8494927.19996
Bahia,258649049,29,564722611,14812617,660,50191003.24052,45570160.0038
Minas Gerais,544633968,31,586521121,21040662,731,97199823.15616,98391669.16323
Espírito Santo,109226783,32,46074444,3972388,740,19685616.74376,14392338.00188
Rio de Janeiro,640185780,33,43750423,17159960,761,78488140.78862,67965548.69757
São Paulo,2038004931,35,248219481,45538936,783,232822496.56706,231982243.69176
Paraná,401661680,41,199305236,11348937,749,60163576.12246,55534402.97483
Santa Catarina,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
Rio Grande do Sul,408645099,43,281707151,11329605,746,66397468.17915,62476279.34364
Mato Grosso do Sul,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
Mato Grosso,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
Goiás,181692435,52,340125715,6921161,735,37885335.16848,24248380.34233
Distrito Federal,235497107,53,5760783,2974703,824,23812211.27074,21990464.6849
