ano,estado_ibge,quantidade,valor_em_reais
2003,11,4,254300
2003,12,2,0
2003,13,6,300000
2003,14,1,30000
2003,15,23,5842618
2003,16,3,0
2003,17,5,81220
2003,21,31,893896
2003,22,13,1173000
2003,24,16,193091.87
2003,25,5,20000
2003,26,109,9616399.59
2003,27,6,162224
2003,28,13,1967113.31
2003,29,127,10662327.93
2003,31,333,44139927.77
2003,32,30,704472.83
2003,41,347,10980798.7
2003,42,157,7492236.35
2003,50,37,1418074.25
2003,51,13,255064.16
2003,52,72,4377431.97
2003,53,172,16612977.06
2004,11,11,394799.48
2004,12,3,112041.19
2004,13,11,3400000
2004,14,1,0
2004,15,33,5224465.71
2004,16,0,0
2004,17,17,696593.88
2004,21,33,825104.5
2004,22,9,1805000
2004,23,76,6446545.15
2004,24,14,897143.88
2004,25,16,184400
2004,27,10,849715.14
2004,28,15,4230387.47
2004,29,163,9241517.68
2004,32,24,2545503.23
2004,50,39,1148773.84
2004,51,37,1191249.9
2004,52,85,4573416.55
2004,53,233,9728327.11
2005,11,12,249039.11
2005,12,2,1113391.72
2005,13,19,738033.73
2005,14,1,0
2005,15,42,2137889.54
2005,16,4,0
2005,17,16,302000
2005,21,59,4775917.45
2005,22,14,1268950
2005,23,94,7526351.2
2005,24,10,1451363.86
2005,25,25,488625
2005,26,134,12065535.36
2005,27,25,682648.75
2005,28,19,4451548.69
2005,29,218,19039820.22
2005,31,743,79991234.359
2005,32,43,5347721.52
2005,33,1319,198598718.2
2005,41,353,17079250.92
2005,43,384,49305232.89
2005,50,39,2837122.96
2005,51,30,1335000
2005,52,122,3255424.82
2005,53,229,11007726.27
2006,11,7,177412.02
2006,12,8,1089745.25
2006,13,19,1592331.11
2006,14,1,25000
2006,15,40,3000033.33
2006,16,2,20000
2006,17,15,534425
2006,22,15,2437213.2
2006,23,101,10883607.18
2006,24,14,289226.4
2006,25,28,456131.62
2006,27,21,1859770.66
2006,28,21,1576900
2006,31,835,103873117.01
2006,32,34,9796238.82
2006,42,262,11281764.08
2006,50,30,2689122.13
2006,51,24,2147255.43
2006,52,106,4780833.52
2007,11,19,446508
2007,12,4,593448.29
2007,13,15,1826968.88
2007,14,1,95000
2007,15,38,3713560.37
2007,16,4,160000
2007,17,16,1266001.74
2007,21,37,3754528.93
2007,22,13,480375
2007,23,109,8850204.55
2007,24,16,1051344.27
2007,25,31,671050
2007,27,15,2038906.36
2007,28,18,1065560
2007,29,287,26206613.26
2007,32,36,8886921.86
2007,50,30,2641577.24
2007,51,37,1949789.59
2007,52,101,4116784
2007,53,229,18349576.93
2008,11,10,1370330
2008,12,7,655904.5
2008,13,24,750193.86
2008,15,42,1410040.9
2008,16,5,611927.2
2008,17,8,355858.89
2008,21,42,2578426.51
2008,23,101,11341428.19
2008,24,15,1368408.2
2008,25,36,1382416.16
2008,26,139,16898566.09
2008,27,16,1477331
2008,28,19,2142526.59
2008,29,242,19483683.924
2008,31,765,108650925.05
2008,32,32,7650131.71
2008,50,22,741775.65
2008,51,34,1340022.46
2008,52,123,4007510.08
2008,53,174,20382329.37
2009,11,5,562722
2009,12,4,25000
2009,13,14,714888.46
2009,14,2,0
2009,15,33,4149645.33
2009,16,1,142410.8
2009,17,2,0
2009,21,11,2017713.8
2009,22,7,2754726.19
2009,23,119,13760618.76
2009,24,10,989317.8
